KeysPressed,StartTappingTime,FingertappingRound,CorrectSequence,ParticipantID
2,1.5086479997262359,1,23142,1
3,1.6876409999094903,1,23142,1
1,1.9906556997448206,1,23142,1
4,2.694470399990678,1,23142,1
2,2.94399549998343,1,23142,1
